Name,Exclusive secs,Inclusive secs,% Exclusive,% Inclusive,Module,Source File,Source Line
"[0000000000000001]",0,0.0020471,0,0.000842418,"","",0
"[0000000000000005]",0,21.5073,0,8.85064,"","",0
"[000000000000000A]",0,0.0080573,0,0.00331572,"","",0
"[0000000000000010]",0,0.0020471,0,0.000842418,"","",0
"[0000000000000019]",0,21.5073,0,8.85064,"","",0
"[0000000000000083]",0,21.5073,0,8.85064,"","",0
"[00000000000015E8]",0,0.0022306,0,0.000917932,"","",0
"[00000000000D1440]",0,0.0020471,0,0.000842418,"","",0
"compare_words_by_rarity",0.0024014,0.0024014,0.000988219,0.000988219,"5Words5Letters","[unknown]",0
"search_recursive.part.0",5.00564,5.00564,2.05991,2.05991,"5Words5Letters","[unknown]",0
"main",0,5.01006,0,2.06173,"5Words5Letters","[unknown]",0
"[00000007FFFFCE00]",0,0.0022306,0,0.000917932,"5Words5Letters","",0
"[0000000A00037870]",0,21.5013,0,8.84817,"5Words5Letters","",0
"_assert",0,138.794,0,57.1164,"cygwin1","[unknown]",0
"cygwin_dll_init",0,5.01006,0,2.06173,"cygwin1","[unknown]",0
"dirname",0.0044649,0.0044649,0.00183739,0.00183739,"cygwin1","[unknown]",0
"_getreent",0.0046503,21.5164,0.00191368,8.85439,"cygwin1","[unknown]",0
"sigfillset",0,34.7147,0,14.2857,"cygwin1","[unknown]",0
"getppid",0,8.15954,0,3.3578,"cygwin1","[unknown]",0
"cuserid",0.0034013,42.8742,0.0013997,17.6435,"cygwin1","[unknown]",0
"timegm",0.0044226,29.7067,0.00181998,12.2248,"cygwin1","[unknown]",0
"qsort",0,0.0024014,0,0.000988219,"cygwin1","[unknown]",0
"qsort_r",0.0218763,8.19936,0.00900249,3.37418,"cygwin1","[unknown]",0
"_locale_mb_cur_max",0.0021735,0.0021735,0.000894434,0.000894434,"cygwin1","[unknown]",0
"localeconv",0,8.15954,0,3.3578,"cygwin1","[unknown]",0
"alloca",0.0022306,0.0022306,0.000917932,0.000917932,"cygwin1","[unknown]",0
"abort",0,0.011442,0,0.00470859,"cygwin1","[unknown]",0
"Tcpip4_WSHAddressToString",0,34.7147,0,14.2857,"mswsock","[unknown]",0
"ReadFile",34.7147,34.7147,14.2857,14.2857,"KERNELBASE","[unknown]",0
"WaitForSingleObjectEx",0.0030004,0.0030004,0.00123472,0.00123472,"KERNELBASE","[unknown]",0
"ReleaseMutex",0.0075358,0.0075358,0.00310112,0.00310112,"KERNELBASE","[unknown]",0
"WriteConsoleW",0.0044147,0.0044147,0.00181673,0.00181673,"KERNELBASE","[unknown]",0
"GetConsoleScreenBufferInfo",0.0030377,0.0030377,0.00125007,0.00125007,"KERNELBASE","[unknown]",0
"GetConsoleScreenBufferInfoEx",0,0,0,0,"KERNELBASE","[unknown]",0
"SleepEx",0.0060102,0.0060102,0.0024733,0.0024733,"KERNELBASE","[unknown]",0
"WaitForMultipleObjects",64.1293,64.1293,26.3904,26.3904,"KERNELBASE","[unknown]",0
"WaitForMultipleObjectsEx",0,0,0,0,"KERNELBASE","[unknown]",0
"GetConsoleTitleW",0,0,0,0,"KERNELBASE","[unknown]",0
"ReadConsoleInputW",0.0694732,0.0694732,0.0285895,0.0285895,"KERNELBASE","[unknown]",0
"PeekConsoleInputW",0.0230212,0.0230212,0.00947364,0.00947364,"KERNELBASE","[unknown]",0
"WriteConsoleInputA",0,0,0,0,"KERNELBASE","[unknown]",0
"WriteConsoleInputW",0.0201522,0.0201522,0.00829299,0.00829299,"KERNELBASE","[unknown]",0
"GetConsoleProcessList",0.0131456,0.0131456,0.00540965,0.00540965,"KERNELBASE","[unknown]",0
"GetNumberOfConsoleInputEvents",0.0843248,0.0843248,0.0347012,0.0347012,"KERNELBASE","[unknown]",0
"BaseThreadInitThunk",0,104.144,0,42.8572,"KERNEL32","[unknown]",0
"RtlClearThreadWorkOnBehalfTicket",0,0,0,0,"ntdll","[unknown]",0
"RtlDelayExecution",0,0,0,0,"ntdll","[unknown]",0
"RtlUserThreadStart",104.144,208.288,42.8571,85.7143,"ntdll","[unknown]",0
"NtWaitForSingleObject",0,0,0,0,"ntdll","[unknown]",0
"NtReadFile",0,0,0,0,"ntdll","[unknown]",0
"NtDeviceIoControlFile",0,0,0,0,"ntdll","[unknown]",0
"ZwRemoveIoCompletion",34.7147,34.7147,14.2857,14.2857,"ntdll","[unknown]",0
"NtReleaseMutant",0,0,0,0,"ntdll","[unknown]",0
"NtDelayExecution",0,0,0,0,"ntdll","[unknown]",0
"ZwQueryTimer",0.0086389,0.0086389,0.00355506,0.00355506,"ntdll","[unknown]",0
"ZwWaitForMultipleObjects",0,0,0,0,"ntdll","[unknown]",0
"ZwCancelTimer",0.0030342,0.0030342,0.00124863,0.00124863,"ntdll","[unknown]",0
"ZwSetTimer",0.0029962,0.0029962,0.00123299,0.00123299,"ntdll","[unknown]",0
"NtWaitForWorkViaWorkerFactory",0,0,0,0,"ntdll","[unknown]",0
